area_no,company_name,job_name,salary
6001001001,覓食國際餐飲企業有限公司,兼職專案助理,時薪183~269元
6001001001,歐易亞科技股份有限公司,【業務助理】客服&amp;營運協助,"月薪30,000~35,000元"
6001001001,洛邑室內裝修設計工程有限公司,工務助理,"月薪32,000~38,000元"
6001001001,香港商天圓文化諮詢顧問有限公司台灣分公司,行政兼職或工讀專員【財會部門】,時薪183元
6001001001,德欣寰宇科技股份有限公司,文書助理/行政助理/文管助理,"月薪30,000~35,000元"
6001001001,永嘉法律事務所,律師助理,"月薪28,000~36,000元"
6001001001,覓食國際餐飲企業有限公司,人資行政助理,"月薪32,000~35,000元"
6001001001,三民書局股份有限公司,門市長期工讀生(重南店),時薪183元
6001001001,社團法人台灣評鑑協會,行政助理,"月薪32,000~34,000元"
6001001001,甲桂林廣告股份有限公司,中正區銷售中心工讀生,時薪183元以上
6001001001,力安妥診所,長期工讀生,時薪183~200元
6001001001,全球人事顧問股份有限公司,【短期專案】蝦皮電商行政工讀生/純內勤 ET,待遇面議
6001001001,東光電腦股份有限公司,助理-台北市中正區,"月薪28,000元"
6001001001,幸福米窩_璞樂米窩有限公司,"【台北】旅館帳務行政助理，薪資30,000起　能立即上班佳","月薪30,000元以上"
6001001001,臺北市立大學_幼兒教育學系,教育部專案專任行政助理,"月薪33,769~44,000元"
6001001001,曦爵股份有限公司,行政助理/秘書,"月薪32,000~36,000元"
6001001001,Gogolook_走著瞧股份有限公司,行政總務工讀生,時薪183元
6001001001,星竑科技有限公司,國貿營運助理專員 Export and Operation Coordinator,"月薪36,000~42,000元"
6001001001,樂欣國際股份有限公司,行政助理秘書,"月薪35,000~55,000元"
6001001001,群創管理顧問有限公司,企劃助理,"月薪32,000~36,000元"
6001001001,台灣斯巴克環保工程股份有限公司,行政人員(駐點台北車站),"月薪30,000~35,000元"
6001001001,中勤人力資源管理顧問股份有限公司,(接近捷運善導寺站)公務機關駐點行政人員,"月薪30,000元"
6001001001,嘉貝牙醫診所,牙科跟診助理,"月薪33,000~80,000元"
6001001001,台灣小米通訊有限公司,【小米之家】門市財務專員,"月薪30,000~40,000元"
6001001001,社團法人中華民國全國中小企業總會,【職發中心】派駐勞動力發展署-外國人案件審查業務輔導員,"月薪34,000~35,000元"
6001001001,新加坡商立福人事顧問有限公司台灣分公司,！2024第一行政PT！蝦皮希望總部_行政審核（新鮮人、無經驗、夜校可）_BC,時薪183元
6001001001,財團法人臺灣海洋保育與漁業永續基金會,行政助理,"月薪29,000~43,000元"
